england-premier-league-players-2018-to-2019-stats
full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,yellow_cards_overall,red_cards_overall
Aaron Cresswell,31,1989/12/15,Premier League,2018/2019,Defender,West Ham United,1589,888,701,England,20,11,9,0,0,0,1,1,0,0,0,3,2,1,1,0
Aaron Lennon,33,1987/04/16,Premier League,2018/2019,Midfielder,Burnley,1217,487,730,England,16,7,9,1,1,0,1,1,0,0,0,4,2,2,1,0
Aaron Mooy,30,1990/09/15,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,15,14,3,1,2,1,0,1,1,0,4,3,1,4,0
Aaron Ramsey,30,1990/12/26,Premier League,2018/2019,Midfielder,Arsenal,1327,689,638,Wales,28,14,14,4,2,2,6,5,1,0,0,7,6,1,0,0
Aaron Rowe,20,2000/09/07,Premier League,2018/2019,Forward,Huddersfield Town,69,14,55,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Wan-Bissaka,23,1997/11/26,Premier League,2018/2019,Midfielder,Crystal Palace,3135,1605,1530,England,35,18,17,0,0,0,3,1,2,0,0,12,7,5,5,1
Abdelhamid Sabiri,24,1996/11/28,Premier League,2018/2019,Midfielder,Huddersfield Town,49,0,49,Morocco,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,28,1993/01/01,Premier League,2018/2019,Midfielder,Watford,3062,1566,1496,France,35,18,17,5,3,2,6,2,4,0,0,5,3,2,7,0
Aboubakar Kamara,26,1995/03/07,Premier League,2018/2019,Forward,Fulham,687,468,219,France,13,8,5,3,1,2,0,0,0,1,1,2,1,1,2,0
Adalberto Peñaranda Maestre,23,1997/05/31,Premier League,2018/2019,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
